wall_time,monotonic_s,mode,backend,commands_enabled,command_sent,fault_count,fault_reason,state_age_s,mocap_age_s,state_x,state_y,state_z,state_vx,state_vy,state_vz,state_qx,state_qy,state_qz,state_qw,state_omega_x,state_omega_y,state_omega_z,ref_t_s,ref_x,ref_y,ref_z,ref_vx,ref_vy,ref_vz,ref_yaw_deg,ref_next_x,ref_next_y,ref_next_z,e0_x,e0_y,e0_z,e0_phi_x,e0_phi_y,e0_phi_z,e0_vx,e0_vy,e0_vz,e0_omega_x,e0_omega_y,e0_omega_z,bound_ex_min,bound_ex_max,bound_ey_min,bound_ey_max,request_epoch,output_epoch,selected_position_index,loihi_latency_s,u0_0,u0_1,u0_2,u0_3,selected_ep_x,selected_ep_y,selected_ep_z,cmd_x,cmd_y,cmd_z,cmd_yaw_deg
2026-05-20T19:54:02.913,2401902.856518,IDLE,real,1,0,0,,0.006714,0.003219,-0.189000,-0.570000,0.037000,-0.001000,0.002000,-0.010000,0.001383771,-0.004151312,0.001383771,0.999989468,0.005000,0.008000,-0.001000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.924,2401902.866688,IDLE,real,1,0,0,,0.006673,0.004869,-0.189000,-0.570000,0.037000,-0.001000,0.002000,-0.009000,0.001383771,-0.004151312,0.001383771,0.999989468,0.003000,-0.004000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.934,2401902.876773,IDLE,real,1,0,0,,0.006660,0.006742,-0.189000,-0.570000,0.037000,-0.001000,0.002000,-0.008000,0.001383771,-0.004151312,0.001383771,0.999989468,-0.004000,0.005000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.944,2401902.886862,IDLE,real,1,0,0,,0.006912,0.008284,-0.189000,-0.570000,0.037000,-0.002000,0.002000,-0.008000,0.001383771,-0.004151312,0.001383771,0.999989468,0.004000,-0.001000,-0.003000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.955,2401902.897893,IDLE,real,1,0,0,,0.007646,0.002595,-0.189000,-0.570000,0.037000,-0.002000,0.002000,-0.007000,0.001383771,-0.004151312,0.001383771,0.999989468,-0.004000,0.002000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.966,2401902.908915,IDLE,real,1,0,0,,0.008380,0.006100,-0.189000,-0.570000,0.037000,-0.002000,0.002000,-0.006000,0.001383771,-0.004151312,0.001383771,0.999989468,-0.008000,0.005000,-0.003000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.976,2401902.918954,IDLE,real,1,0,0,,0.008600,0.004945,-0.189000,-0.570000,0.037000,-0.002000,0.003000,-0.006000,0.001383771,-0.004151312,0.001383771,0.999989468,0.008000,-0.014000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.987,2401902.929923,IDLE,real,1,0,0,,0.009513,0.009751,-0.189000,-0.570000,0.037000,-0.002000,0.002000,-0.005000,0.001383771,-0.004151312,0.001383771,0.999989468,-0.016000,0.013000,-0.001000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:02.998,2401902.940936,IDLE,real,1,0,0,,0.000503,0.004141,-0.189000,-0.570000,0.037000,-0.002000,0.003000,-0.005000,0.001383771,-0.004151312,0.001383771,0.999989468,-0.016000,0.017000,0.005000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-05-20T19:54:03.009,2401902.951796,IDLE,real,1,0,0,,0.001195,0.006085,-0.189000,-0.570000,0.037000,-0.002000,0.003000,-0.004000,0.001383771,-0.004151312,0.001383771,0.999989468,-0.005000,0.005000,0.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
